label	accession	organism	protein	clade	source	note	status
NapA_Wells_011	FlexisinuNapA	Wells_et_al_reference	NapA	NapA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=FlexisinuNapA	OK
NapA_Wells_012	GordonurolNapA	Wells_et_al_reference	NapA	NapA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=GordonurolNapA	OK
NapA_Wells_013	InhelinkyonNapA	Wells_et_al_reference	NapA	NapA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=InhelinkyonNapA	OK
NapA_Wells_014	LutiprofundiNapA	Wells_et_al_reference	NapA	NapA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=LutiprofundiNapA	OK
NapA_Wells_015	MitsuachitoNapA	Wells_et_al_reference	NapA	NapA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=MitsuachitoNapA	OK
NapA_Wells_016	ParaferrsedimenNapA	Wells_et_al_reference	NapA	NapA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ParaferrsedimenNapA	OK
NapA_Wells_017	ProvidstuaNapA	Wells_et_al_reference	NapA	NapA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ProvidstuaNapA	OK
NapA_Wells_018	RhodobacmegaloNapA	Wells_et_al_reference	NapA	NapA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=RhodobacmegaloNapA	OK
NapA_Wells_019	RubrivigelatiNapA	Wells_et_al_reference	NapA	NapA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=RubrivigelatiNapA	OK
NapA_Wells_020	ShewanmarinaNapA	Wells_et_al_reference	NapA	NapA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ShewanmarinaNapA	OK
NapA_Wells_021	SphaerotilhippeiNapA	Wells_et_al_reference	NapA	NapA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=SphaerotilhippeiNapA	OK
NapA_Wells_022	SulfurisomsediminiNapA	Wells_et_al_reference	NapA	NapA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=SulfurisomsediminiNapA	OK
NapA_Wells_023	ThalassospirxiameNapA	Wells_et_al_reference	NapA	NapA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ThalassospirxiameNapA	OK
NapA_Wells_024	VariosoliNapA	Wells_et_al_reference	NapA	NapA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=VariosoliNapA	OK
NapA_Wells_025	ZobeluligiNapA	Wells_et_al_reference	NapA	NapA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ZobeluligiNapA	OK
NarG_Wells_001	AchromarsenNarG	Wells_et_al_reference	NarG	NarG	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=AchromarsenNarG	OK
NarG_Wells_002	AlkaliehrliNarG	Wells_et_al_reference	NarG	NarG	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=AlkaliehrliNarG	OK
NarG_Wells_003	ArthrobacsubteNarG	Wells_et_al_reference	NarG	NarG	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ArthrobacsubteNarG	OK
NarG_Wells_004	BreogcorruNarG	Wells_et_al_reference	NarG	NarG	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=BreogcorruNarG	OK
NarG_Wells_005	ChitinigtaiwanNarG	Wells_et_al_reference	NarG	NarG	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ChitinigtaiwanNarG	OK
NarG_Wells_006	CupriaoxalatiNarG	Wells_et_al_reference	NarG	NarG	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=CupriaoxalatiNarG	OK
NarG_Wells_007	DesulfovfairNarG	Wells_et_al_reference	NarG	NarG	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=DesulfovfairNarG	OK
NarG_Wells_008	FilomicroinsigNarG	Wells_et_al_reference	NarG	NarG	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=FilomicroinsigNarG	OK
NarG_Wells_009	GranuloantarctiNarG	Wells_et_al_reference	NarG	NarG	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=GranuloantarctiNarG	OK
NarG_Wells_010	HalofermediterrNarG	Wells_et_al_reference	NarG	NarG	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=HalofermediterrNarG	OK
NarG_Wells_011	HaloplanvescusNarG	Wells_et_al_reference	NarG	NarG	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=HaloplanvescusNarG	OK
NarG_Wells_012	HumibacilxanthoNarG	Wells_et_al_reference	NarG	NarG	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=HumibacilxanthoNarG	OK
NarG_Wells_013	MarinospalkaliNarG	Wells_et_al_reference	NarG	NarG	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=MarinospalkaliNarG	OK
NarG_Wells_014	MethyloceaniNarG	Wells_et_al_reference	NarG	NarG	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=MethyloceaniNarG	OK
NarG_Wells_015	MitsuomultaciNarG	Wells_et_al_reference	NarG	NarG	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=MitsuomultaciNarG	OK
NarG_Wells_016	NocardviolaNarG	Wells_et_al_reference	NarG	NarG	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=NocardviolaNarG	OK
NarG_Wells_017	PaenibacilthiaminoNarG	Wells_et_al_reference	NarG	NarG	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=PaenibacilthiaminoNarG	OK
NarG_Wells_018	PolynucsinenNarG	Wells_et_al_reference	NarG	NarG	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=PolynucsinenNarG	OK
NarG_Wells_019	PseudonocardcypriNarG	Wells_et_al_reference	NarG	NarG	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=PseudonocardcypriNarG	OK
NarG_Wells_020	RhodococmaanNarG	Wells_et_al_reference	NarG	NarG	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=RhodococmaanNarG	OK
NarG_Wells_021	SelenonoxiaNarG	Wells_et_al_reference	NarG	NarG	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=SelenonoxiaNarG	OK
NarG_Wells_022	StreptomyindiNarG	Wells_et_al_reference	NarG	NarG	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=StreptomyindiNarG	OK
NarG_Wells_023	ThermusscotNarG	Wells_et_al_reference	NarG	NarG	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ThermusscotNarG	OK
NarG_Wells_024	ThiothrcaldNarG	Wells_et_al_reference	NarG	NarG	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ThiothrcaldNarG	OK
NarG_Wells_025	ZhizhongcaldiNarG	Wells_et_al_reference	NarG	NarG	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ZhizhongcaldiNarG	OK
NasCNarB_Wells_001	AcinetoschinNasA	Wells_et_al_reference	NasCNarB	NasCNarB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=AcinetoschinNasA	OK
NasCNarB_Wells_002	AlgorimannitolNasC	Wells_et_al_reference	NasCNarB	NasCNarB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=AlgorimannitolNasC	OK
NasCNarB_Wells_003	AneurinibactyrosiniNasC	Wells_et_al_reference	NasCNarB	NasCNarB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=AneurinibactyrosiniNasC	OK
NasCNarB_Wells_004	BacilcereusNasC	Wells_et_al_reference	NasCNarB	NasCNarB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=BacilcereusNasC	OK
NasCNarB_Wells_005	BurkinsectNasA	Wells_et_al_reference	NasCNarB	NasCNarB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=BurkinsectNasA	OK
NasCNarB_Wells_006	ChitinigtaiwanNasA	Wells_et_al_reference	NasCNarB	NasCNarB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ChitinigtaiwanNasA	OK
NasCNarB_Wells_007	CupriaoxalatiNasA	Wells_et_al_reference	NasCNarB	NasCNarB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=CupriaoxalatiNasA	OK
NasCNarB_Wells_008	DickeyadadanNasA	Wells_et_al_reference	NasCNarB	NasCNarB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=DickeyadadanNasA	OK
NasCNarB_Wells_009	EpibacmultiNasA	Wells_et_al_reference	NasCNarB	NasCNarB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=EpibacmultiNasA	OK
NasCNarB_Wells_010	FlavobacsucciniNasC	Wells_et_al_reference	NasCNarB	NasCNarB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=FlavobacsucciniNasC	OK
NasCNarB_Wells_011	HalofersulfuriNasC	Wells_et_al_reference	NasCNarB	NasCNarB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=HalofersulfuriNasC	OK
NasCNarB_Wells_012	Klebsipneu1NasA	Wells_et_al_reference	NasCNarB	NasCNarB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=Klebsipneu1NasA	OK
NasCNarB_Wells_013	MarinovumalgiNasA	Wells_et_al_reference	NasCNarB	NasCNarB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=MarinovumalgiNasA	OK
NasCNarB_Wells_014	MethylococccapsulNasA	Wells_et_al_reference	NasCNarB	NasCNarB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=MethylococccapsulNasA	OK
NasCNarB_Wells_015	MooreaproduNasC	Wells_et_al_reference	NasCNarB	NasCNarB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=MooreaproduNasC	OK
NasCNarB_Wells_016	PaenibacilbeijingNasC	Wells_et_al_reference	NasCNarB	NasCNarB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=PaenibacilbeijingNasC	OK
NasCNarB_Wells_017	ParacocpantoNasA	Wells_et_al_reference	NasCNarB	NasCNarB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ParacocpantoNasA	OK
NasCNarB_Wells_018	PlantkotepidaNasC	Wells_et_al_reference	NasCNarB	NasCNarB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=PlantkotepidaNasC	OK
NasCNarB_Wells_019	PuniceisedimiNasA	Wells_et_al_reference	NasCNarB	NasCNarB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=PuniceisedimiNasA	OK
NasCNarB_Wells_020	SalipaneizhouNasC	Wells_et_al_reference	NasCNarB	NasCNarB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=SalipaneizhouNasC	OK
NasCNarB_Wells_021	SphaerospermkisselNasC	Wells_et_al_reference	NasCNarB	NasCNarB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=SphaerospermkisselNasC	OK
NasCNarB_Wells_022	ThalassobacdevorNasC	Wells_et_al_reference	NasCNarB	NasCNarB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ThalassobacdevorNasC	OK
NasCNarB_Wells_023	ThiocalpaciNasA	Wells_et_al_reference	NasCNarB	NasCNarB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ThiocalpaciNasA	OK
NasCNarB_Wells_024	TrichoerythraeNasC	Wells_et_al_reference	NasCNarB	NasCNarB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=TrichoerythraeNasC	OK
NasCNarB_Wells_025	ZoogloramiNasA	Wells_et_al_reference	NasCNarB	NasCNarB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ZoogloramiNasA	OK
AioAIdrA_Wells_001	AchromarsenAioA	Wells_et_al_reference	AioAIdrA	AioAIdrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=AchromarsenAioA	OK
AioAIdrA_Wells_002	AgrobactumeAioA	Wells_et_al_reference	AioAIdrA	AioAIdrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=AgrobactumeAioA	OK
AioAIdrA_Wells_003	AmorphcoralAioA	Wells_et_al_reference	AioAIdrA	AioAIdrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=AmorphcoralAioA	OK
AioAIdrA_Wells_004	AzospirlipoAioA	Wells_et_al_reference	AioAIdrA	AioAIdrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=AzospirlipoAioA	OK
AioAIdrA_Wells_005	BurkpseudoAioA	Wells_et_al_reference	AioAIdrA	AioAIdrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=BurkpseudoAioA	OK
AioAIdrA_Wells_006	CaulobacsegnisAioA	Wells_et_al_reference	AioAIdrA	AioAIdrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=CaulobacsegnisAioA	OK
AioAIdrA_Wells_007	ChloroflexaggreAioA	Wells_et_al_reference	AioAIdrA	AioAIdrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ChloroflexaggreAioA	OK
AioAIdrA_Wells_008	CupriabasilAioA	Wells_et_al_reference	AioAIdrA	AioAIdrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=CupriabasilAioA	OK
AioAIdrA_Wells_009	FodinifengAioA	Wells_et_al_reference	AioAIdrA	AioAIdrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=FodinifengAioA	OK
AioAIdrA_Wells_010	HalorutebenAioA	Wells_et_al_reference	AioAIdrA	AioAIdrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=HalorutebenAioA	OK
AioAIdrA_Wells_011	HydrogenicaldiAioA	Wells_et_al_reference	AioAIdrA	AioAIdrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=HydrogenicaldiAioA	OK
AioAIdrA_Wells_012	MesorhizoalhagiAioA	Wells_et_al_reference	AioAIdrA	AioAIdrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=MesorhizoalhagiAioA	OK
AioAIdrA_Wells_013	MicrovirossetAioA	Wells_et_al_reference	AioAIdrA	AioAIdrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=MicrovirossetAioA	OK
AioAIdrA_Wells_014	OceanicelactiAioA	Wells_et_al_reference	AioAIdrA	AioAIdrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=OceanicelactiAioA	OK
AioAIdrA_Wells_015	ParaburkphenaAioA	Wells_et_al_reference	AioAIdrA	AioAIdrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ParaburkphenaAioA	OK
AioAIdrA_Wells_016	PolymorphgilvumAioA	Wells_et_al_reference	AioAIdrA	AioAIdrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=PolymorphgilvumAioA	OK
AioAIdrA_Wells_017	PseudorueglutiAioA	Wells_et_al_reference	AioAIdrA	AioAIdrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=PseudorueglutiAioA	OK
AioAIdrA_Wells_018	RalstonsolanaAioA	Wells_et_al_reference	AioAIdrA	AioAIdrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=RalstonsolanaAioA	OK
AioAIdrA_Wells_019	RhodoferferriAioA	Wells_et_al_reference	AioAIdrA	AioAIdrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=RhodoferferriAioA	OK
AioAIdrA_Wells_020	RoseocerviAioA	Wells_et_al_reference	AioAIdrA	AioAIdrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=RoseocerviAioA	OK
AioAIdrA_Wells_021	StarknovelAioA	Wells_et_al_reference	AioAIdrA	AioAIdrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=StarknovelAioA	OK
AioAIdrA_Wells_022	ThalassobigelatiniAioA	Wells_et_al_reference	AioAIdrA	AioAIdrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ThalassobigelatiniAioA	OK
AioAIdrA_Wells_023	ThermusscotAioA	Wells_et_al_reference	AioAIdrA	AioAIdrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ThermusscotAioA	OK
AioAIdrA_Wells_024	ThiomoninterAioA	Wells_et_al_reference	AioAIdrA	AioAIdrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ThiomoninterAioA	OK
AioAIdrA_Wells_025	XanthobacautoAioA	Wells_et_al_reference	AioAIdrA	AioAIdrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=XanthobacautoAioA	OK
ActB_Wells_001	AcidipildingActB	Wells_et_al_reference	ActB	ActB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=AcidipildingActB	OK
ActB_Wells_002	ArchangephyActB	Wells_et_al_reference	ActB	ActB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ArchangephyActB	OK
ActB_Wells_003	BradyrhizomacuActB	Wells_et_al_reference	ActB	ActB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=BradyrhizomacuActB	OK
ActB_Wells_004	CellulotyroActB	Wells_et_al_reference	ActB	ActB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=CellulotyroActB	OK
ActB_Wells_005	CoralioakaiiActB	Wells_et_al_reference	ActB	ActB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=CoralioakaiiActB	OK
ActB_Wells_006	CupriapinatuActB	Wells_et_al_reference	ActB	ActB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=CupriapinatuActB	OK
ActB_Wells_007	EnhygrosalinaActB	Wells_et_al_reference	ActB	ActB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=EnhygrosalinaActB	OK
ActB_Wells_008	GeobacbemidjienActB	Wells_et_al_reference	ActB	ActB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=GeobacbemidjienActB	OK
ActB_Wells_009	GlacieamyloActB	Wells_et_al_reference	ActB	ActB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=GlacieamyloActB	OK
ActB_Wells_010	HalomonmuralActB	Wells_et_al_reference	ActB	ActB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=HalomonmuralActB	OK
ActB_Wells_011	LeptospmeyerActB	Wells_et_al_reference	ActB	ActB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=LeptospmeyerActB	OK
ActB_Wells_012	MariluteusActB	Wells_et_al_reference	ActB	ActB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=MariluteusActB	OK
ActB_Wells_013	MassiliaputidActB	Wells_et_al_reference	ActB	ActB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=MassiliaputidActB	OK
ActB_Wells_014	MethylacidikamchaActB	Wells_et_al_reference	ActB	ActB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=MethylacidikamchaActB	OK
ActB_Wells_015	MicrovirlotonoActB	Wells_et_al_reference	ActB	ActB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=MicrovirlotonoActB	OK
ActB_Wells_016	MyxofulvusActB	Wells_et_al_reference	ActB	ActB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=MyxofulvusActB	OK
ActB_Wells_017	Nitrospiramaz1ActB	Wells_et_al_reference	ActB	ActB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=Nitrospiramaz1ActB	OK
ActB_Wells_018	ParaburkdiazotrophActB	Wells_et_al_reference	ActB	ActB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ParaburkdiazotrophActB	OK
ActB_Wells_019	PlanctopilimnoActB	Wells_et_al_reference	ActB	ActB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=PlanctopilimnoActB	OK
ActB_Wells_020	PyrinomethylActB	Wells_et_al_reference	ActB	ActB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=PyrinomethylActB	OK
ActB_Wells_021	RobiginbiformActB	Wells_et_al_reference	ActB	ActB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=RobiginbiformActB	OK
ActB_Wells_022	RubripirtenaxActB	Wells_et_al_reference	ActB	ActB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=RubripirtenaxActB	OK
ActB_Wells_023	SinomicropectinActB	Wells_et_al_reference	ActB	ActB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=SinomicropectinActB	OK
ActB_Wells_024	ThermogutterriActB	Wells_et_al_reference	ActB	ActB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ThermogutterriActB	OK
ActB_Wells_025	ZobeluligiActB	Wells_et_al_reference	ActB	ActB	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ZobeluligiActB	OK
AH_Wells_001	AlbimonpaciAH	Wells_et_al_reference	AH	AH	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=AlbimonpaciAH	OK
AH_Wells_002	ArchaefulgAH	Wells_et_al_reference	AH	AH	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ArchaefulgAH	OK
AH_Wells_003	CongrelitorAH	Wells_et_al_reference	AH	AH	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=CongrelitorAH	OK
AH_Wells_004	DesulfonatrohydrogenAH	Wells_et_al_reference	AH	AH	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=DesulfonatrohydrogenAH	OK
AH_Wells_005	DesulfonatromagnAH	Wells_et_al_reference	AH	AH	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=DesulfonatromagnAH	OK
AH_Wells_006	DesulfopilaestAH	Wells_et_al_reference	AH	AH	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=DesulfopilaestAH	OK
AH_Wells_007	DesulforhosignaAH	Wells_et_al_reference	AH	AH	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=DesulforhosignaAH	OK
AH_Wells_008	DesulfovoxycliAH	Wells_et_al_reference	AH	AH	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=DesulfovoxycliAH	OK
AH_Wells_009	FerroglobplacidAH	Wells_et_al_reference	AH	AH	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=FerroglobplacidAH	OK
AH_Wells_010	GeobaclovleAH	Wells_et_al_reference	AH	AH	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=GeobaclovleAH	OK
AH_Wells_011	HydrogenophapalleAH	Wells_et_al_reference	AH	AH	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=HydrogenophapalleAH	OK
AH_Wells_012	IlumaflumiAH	Wells_et_al_reference	AH	AH	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=IlumaflumiAH	OK
AH_Wells_013	Kuenenstuttgar1AH	Wells_et_al_reference	AH	AH	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=Kuenenstuttgar1AH	OK
AH_Wells_014	MethylioleiAH	Wells_et_al_reference	AH	AH	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=MethylioleiAH	OK
